host_ip,dhcp_relay_ip,dhcp_relay_interface,vrf_name,vrf_ip,vrf_ip_mask,vrf_interface
129.14.24.38,10.54.69.125,xgei-1/2/0/3.1,,,,
129.14.24.38,10.50.69.125,xgei-1/2/0/3.2,,,,
129.14.24.38,10.78.222.245,xgei-1/2/0/3.3,,,,
129.14.24.38,10.54.70.1,gei-1/8/0/1.1,,,,
129.14.24.38,10.78.221.69,xgei-1/2/0/1.90,,,,
129.14.24.38,10.78.221.73,xgei-1/2/0/2.90,,,,
129.14.24.38,10.78.222.85,xgei-1/2/0/4.90,,,,
129.14.24.38,10.78.222.245,xgei-1/2/0/3.90,,,,
129.14.24.38,10.50.70.1,gei-1/8/0/1.2,,,,
129.14.24.38,10.54.70.5,gei-1/8/0/3.1,,,,
129.14.24.38,10.50.70.5,gei-1/8/0/3.2,,,,
129.14.24.38,10.54.70.9,gei-1/8/0/4.1,,,,
129.14.24.38,10.50.70.9,gei-1/8/0/4.2,,,,
129.14.24.38,10.54.127.17,gei-1/8/0/2.1,,,,
129.14.24.38,10.50.127.17,gei-1/8/0/2.2,,,,
129.14.24.38,100.83.136.85,gei-1/8/0/2.3,,,,
129.14.24.38,,,5G,10.78.221.69,255.255.255.252,xgei-1/2/0/1.100
129.14.24.38,,,5G,10.78.221.73,255.255.255.252,xgei-1/2/0/2.100
129.14.24.38,,,5G,10.78.222.85,255.255.255.252,xgei-1/2/0/4.100
129.14.24.38,,,5G,10.54.69.125,255.255.255.252,xgei-1/2/0/3.1
129.14.24.38,,,5G,10.50.69.125,255.255.255.252,xgei-1/2/0/3.2
129.14.24.38,,,5G,10.78.222.245,255.255.255.252,xgei-1/2/0/3.3
129.14.24.38,,,ZN01,10.78.221.69,255.255.255.252,xgei-1/2/0/1.90
129.14.24.38,,,ZN01,10.78.221.73,255.255.255.252,xgei-1/2/0/2.90
129.14.24.38,,,ZN01,10.78.222.85,255.255.255.252,xgei-1/2/0/4.90
129.14.24.38,,,ZN01,10.78.222.245,255.255.255.252,xgei-1/2/0/3.90
129.14.24.38,,,5G,10.54.70.1,255.255.255.252,gei-1/8/0/1.1
129.14.24.38,,,5G,10.50.70.1,255.255.255.252,gei-1/8/0/1.2
129.14.24.38,,,5G,10.54.70.5,255.255.255.252,gei-1/8/0/3.1
129.14.24.38,,,5G,10.50.70.5,255.255.255.252,gei-1/8/0/3.2
129.14.24.38,,,5G,10.54.70.9,255.255.255.252,gei-1/8/0/4.1
129.14.24.38,,,5G,10.50.70.9,255.255.255.252,gei-1/8/0/4.2
129.14.24.38,,,5G,10.54.127.17,255.255.255.248,gei-1/8/0/2.1
129.14.24.38,,,5G,10.50.127.17,255.255.255.248,gei-1/8/0/2.2
129.14.24.38,,,2G,100.83.136.85,255.255.255.252,gei-1/8/0/2.3
129.14.16.204,10.78.173.49,xgei-1/1/0/1.100,,,,
129.14.16.204,10.78.173.53,xgei-1/1/0/3.100,,,,
129.14.16.204,10.50.75.125,xgei-1/1/0/4.1001,,,,
129.14.16.204,10.78.173.57,xgei-1/7/0/1.100,,,,
129.14.16.204,10.50.75.129,xgei-1/7/0/2.1001,,,,
129.14.16.204,10.78.173.61,xgei-1/7/0/3.100,,,,
129.14.16.204,10.50.75.133,xgei-1/7/0/4.1001,,,,
129.14.16.204,10.54.102.9,gei-1/8/0/7.1,,,,
129.14.16.204,10.50.102.9,gei-1/8/0/7.2,,,,
129.14.16.204,10.78.173.49,xgei-1/1/0/1.90,,,,
129.14.16.204,10.78.173.53,xgei-1/1/0/3.90,,,,
129.14.16.204,10.78.173.57,xgei-1/7/0/1.90,,,,
129.14.16.204,10.78.173.61,xgei-1/7/0/3.90,,,,
129.14.16.204,,,5G,10.54.31.133,255.255.255.252,gei-1/8/0/2.101
129.14.16.204,,,5G,10.50.31.133,255.255.255.252,gei-1/8/0/2.1001
129.14.16.204,,,5G,10.54.31.137,255.255.255.252,gei-1/8/0/3.101
129.14.16.204,,,5G,10.50.31.137,255.255.255.252,gei-1/8/0/3.1001
129.14.16.204,,,5G,10.54.31.141,255.255.255.252,gei-1/8/0/4.101
129.14.16.204,,,5G,10.50.31.141,255.255.255.252,gei-1/8/0/4.1001
129.14.16.204,,,2G,100.83.57.41,255.255.255.248,gei-1/8/0/4.102
129.14.16.204,,,5G,10.54.31.145,255.255.255.252,gei-1/8/0/5.101
129.14.16.204,,,5G,10.50.31.145,255.255.255.252,gei-1/8/0/5.1001
129.14.16.204,,,2G,100.83.57.57,255.255.255.248,gei-1/8/0/5.102
129.14.16.204,,,5G,10.78.173.49,255.255.255.252,xgei-1/1/0/1.100
129.14.16.204,,,5G,10.78.173.53,255.255.255.252,xgei-1/1/0/3.100
129.14.16.204,,,5G,10.78.173.57,255.255.255.252,xgei-1/7/0/1.100
129.14.16.204,,,5G,10.78.173.61,255.255.255.252,xgei-1/7/0/3.100
129.14.16.204,,,5G,10.54.75.125,255.255.255.252,xgei-1/1/0/4.101
129.14.16.204,,,5G,10.50.75.125,255.255.255.252,xgei-1/1/0/4.1001
129.14.16.204,,,5G,10.54.75.129,255.255.255.252,xgei-1/7/0/2.101
129.14.16.204,,,5G,10.50.75.129,255.255.255.252,xgei-1/7/0/2.1001
129.14.16.204,,,5G,10.54.75.133,255.255.255.252,xgei-1/7/0/4.101
129.14.16.204,,,5G,10.50.75.133,255.255.255.252,xgei-1/7/0/4.1001
129.14.16.204,,,5G,10.54.102.9,255.255.255.252,gei-1/8/0/7.1
129.14.16.204,,,5G,10.50.102.9,255.255.255.252,gei-1/8/0/7.2
129.14.16.204,,,ZN01,10.78.173.49,255.255.255.252,xgei-1/1/0/1.90
129.14.16.204,,,ZN01,10.78.173.53,255.255.255.252,xgei-1/1/0/3.90
129.14.16.204,,,ZN01,10.78.173.57,255.255.255.252,xgei-1/7/0/1.90
129.14.16.204,,,ZN01,10.78.173.61,255.255.255.252,xgei-1/7/0/3.90
129.14.16.108,10.78.169.17,xgei-1/1/0/2.90,,,,
129.14.16.108,10.78.169.93,xgei-1/2/0/2.90,,,,
129.14.16.108,10.78.169.101,xgei-1/2/0/4.90,,,,
129.14.16.108,10.78.171.73,xgei-1/2/0/1.90,,,,
129.14.16.108,,,5G,10.78.169.17,255.255.255.252,xgei-1/1/0/2.100
129.14.16.108,,,5G,10.78.171.73,255.255.255.252,xgei-1/2/0/1.100
129.14.16.108,,,5G,10.78.169.93,255.255.255.252,xgei-1/2/0/2.100
129.14.16.108,,,5G,10.54.29.1,255.255.255.252,xgei-1/2/0/3.101
129.14.16.108,,,5G,10.50.29.1,255.255.255.252,xgei-1/2/0/3.1001
129.14.16.108,,,5G,10.78.169.101,255.255.255.252,xgei-1/2/0/4.100
129.14.16.108,,,5G,10.54.28.209,255.255.255.252,xgei-1/7/0/2.101
129.14.16.108,,,5G,10.50.28.209,255.255.255.252,xgei-1/7/0/2.1001
129.14.16.108,,,ZN01,10.78.169.17,255.255.255.252,xgei-1/1/0/2.90
129.14.16.108,,,ZN01,10.78.169.93,255.255.255.252,xgei-1/2/0/2.90
129.14.16.108,,,ZN01,10.78.169.101,255.255.255.252,xgei-1/2/0/4.90
129.14.16.108,,,ZN01,10.78.171.73,255.255.255.252,xgei-1/2/0/1.90
